time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/value_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/n_updates,train/learning_rate,train/clip_range
8888320,10129,4340,877,0.20463367784395814,0.0474853515625,-3.6306358203291893,0.00451536,0.012878015637397766,-0.0131909713963978,1007.33,82.5,0.9870359301567078,17356,2.784320000000001e-05,0.15
8890368,10131,4341,877,0.15840369323268533,0.0606689453125,-3.4759496226906776,0.004962656,0.0016765892505645752,-0.015655043316655792,1009.79,82.58,0.9889487624168396,17360,2.779200000000001e-05,0.15
8892416,10134,4342,877,0.3895886167883873,0.0552978515625,-3.5413354858756065,0.0045203,0.13649903237819672,-0.014238979973015375,1009.79,82.58,0.9211904406547546,17364,2.774080000000001e-05,0.15
8894464,10136,4343,877,0.3058794573880732,0.05419921875,-3.3887037113308907,0.0040563904,0.0727652907371521,-0.012285209057154134,1015.32,82.99,0.9385914206504822,17368,2.768960000000001e-05,0.15
8896512,10138,4344,877,0.2082751439884305,0.0469970703125,-3.460343211889267,0.004489432,0.04704628884792328,-0.01426847541006282,1009.76,82.38,0.9615463018417358,17372,2.7638400000000006e-05,0.15
8898560,10141,4345,877,0.31280401116237044,0.0908203125,-3.5340365692973137,0.007806548,0.061053693294525146,-0.01414432146702893,1000.5,81.77,0.9493827819824219,17376,2.7587200000000006e-05,0.15
8900608,10143,4346,877,0.2752117086201906,0.1102294921875,-3.5921066254377365,0.009897604,0.01726847141981125,-0.011635027214651927,999.99,81.77,0.9766088724136353,17380,2.7536000000000005e-05,0.15
8902656,10146,4347,877,0.15630998043343425,0.0634765625,-3.4782763868570328,0.0057088993,0.008324641734361649,-0.01526502451451961,1000.42,82.06,0.9859213829040527,17384,2.7484800000000005e-05,0.15
8904704,10148,4348,877,0.17637153388932347,0.056396484375,-3.346672423183918,0.0050323335,0.006987780332565308,-0.013509857089957222,1005.05,82.81,0.9816765785217285,17388,2.7433600000000004e-05,0.15
8906752,10150,4349,877,0.4021850684657693,0.0860595703125,-3.5647735819220543,0.0058731744,0.07130809128284454,-0.010529675972065888,1007.96,83.14,0.9696714282035828,17392,2.73824e-05,0.15
