time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/explained_variance,train/clip_range,train/approx_kl,train/loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean
866,9203712,10618,4494,0.9980548024177551,0.15,0.002657049,-0.04752244055271149,1.995839999999999e-05,0.0177001953125,-0.008340713873622008,-3.199447065591812,17972,0.023340241110417992,51.998808659999995,608.83
866,9205760,10621,4495,0.9936273097991943,0.15,0.003356889,-0.028685813769698143,1.9907200000000015e-05,0.040771484375,-0.009341106691863388,-3.1657228991389275,17976,0.044546668068505824,51.98070569999999,609.09
866,9207808,10623,4496,0.9967250227928162,0.15,0.0029801214,-0.028176194056868553,1.9856000000000015e-05,0.0216064453125,-0.010196615228778683,-3.2823774963617325,17980,0.03655660408549011,52.00880864999999,609.76
866,9209856,10626,4497,0.9986240267753601,0.15,0.0037479142,-0.05301865562796593,1.980480000000001e-05,0.032958984375,-0.011725484364433214,-3.449865736067295,17984,0.023228911159094423,52.00704656999999,609.76
866,9211904,10628,4498,0.9975656270980835,0.15,0.0034553441,-0.036205172538757324,1.975360000000001e-05,0.0244140625,-0.011223096371395513,-3.1308576986193657,17988,0.03132717637345195,52.05769168,608.78
866,9213952,10630,4499,0.9956898093223572,0.15,0.0032718526,-0.037543900310993195,1.970240000000001e-05,0.031982421875,-0.009466433548368514,-3.213300034403801,17992,0.03709888632874936,52.038689649999995,607.88
866,9216000,10633,4500,0.9927141666412354,0.15,0.0029658326,-0.02600339613854885,1.965120000000001e-05,0.0208740234375,-0.009088445382076316,-3.1561575457453728,17996,0.05727134959306568,52.03779057999999,607.82
866,9218048,10635,4501,0.9963011145591736,0.15,0.0035793693,-0.04673749953508377,1.9600000000000005e-05,0.033447265625,-0.009761731926118955,-3.257651560008526,18000,0.04454492620425299,52.08488219,608.32
866,9220096,10638,4502,0.9984140992164612,0.15,0.004693114,-0.050462543964385986,1.9548800000000005e-05,0.03759765625,-0.011308178771287203,-3.3637336418032646,18004,0.023464879137463868,52.04592962000001,607.26
866,9222144,10640,4503,0.9973326325416565,0.15,0.0034533888,-0.03432698920369148,1.9497600000000005e-05,0.0380859375,-0.00921034041675739,-3.1592702865600586,18008,0.0364053231314756,52.00612743000001,607.13
866,9224192,10643,4504,0.9937132596969604,0.15,0.0053514,-0.03242546319961548,1.9446400000000004e-05,0.056640625,-0.01067751832306385,-3.1315514519810677,18012,0.040633415745105594,52.02512946000001,607.92
866,9226240,10645,4505,0.9946810007095337,0.15,0.0034661456,-0.02706511877477169,1.93952e-05,0.025146484375,-0.009875198738882318,-3.1784148514270782,18016,0.04736660257913172,52.18168376999999,609.15
866,9228288,10648,4506,0.9973031282424927,0.15,0.0029108776,-0.03564535081386566,1.9344e-05,0.023681640625,-0.009760152315720916,-3.337700627744198,18020,0.036512910563033074,52.210629659999995,609.01
866,9230336,10650,4507,0.9977713227272034,0.15,0.003425242,-0.03156130015850067,1.92928e-05,0.0289306640625,-0.010208687541307881,-3.2995563223958015,18024,0.03527905012015253,52.23317851000001,608.6
866,9232384,10653,4508,0.997646689414978,0.15,0.004567423,-0.03761688619852066,1.92416e-05,0.0411376953125,-0.011737402441212907,-3.106971636414528,18028,0.02785880444571376,52.213277420000004,608.57
866,9234432,10655,4509,0.9928627014160156,0.15,0.0026892312,-0.031368449330329895,1.91904e-05,0.0194091796875,-0.009059382136911154,-3.0425481870770454,18032,0.040684002509806305,52.27208164,608.92
866,9236480,10658,4510,0.9946855902671814,0.15,0.003163926,-0.026476990431547165,1.9139199999999995e-05,0.028564453125,-0.009040244447533041,-3.077414460480213,18036,0.039950993086677045,52.33988789999999,609.79
866,9238528,10660,4511,0.9978041648864746,0.15,0.0028685909,-0.03577505797147751,1.9087999999999994e-05,0.0189208984375,-0.009375938767334446,-3.5008600875735283,18040,0.03183446713956073,52.40952834999999,610.16
