time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
1055,283,146,299008,0.08539341390132904,-0.003350711675011553,0.8310501575469971,0.15,0.2867376497015357,0.039794921875,-5.363238513469696,9.40608e-05,580,0.002239069,19.892432200000002,631.22
1055,285,147,301056,0.034596554934978485,-0.0022408736986108124,0.8724019527435303,0.15,0.23571785259991884,0.0765380859375,-5.3594337701797485,9.401984e-05,584,0.003695135,19.87057009,629.22
1055,287,148,303104,0.05829230323433876,-0.0015542986802756786,0.840808629989624,0.15,0.22068706341087818,0.037353515625,-5.3666959553956985,9.397888000000001e-05,588,0.001881528,19.92641563,630.79
1055,289,149,305152,0.040985800325870514,-0.0025942476058844477,0.8177260160446167,0.15,0.2790939980186522,0.0216064453125,-5.367508366703987,9.393792e-05,592,0.0021785412,19.955323689999997,629.5
1055,291,150,307200,0.04527540132403374,-0.0014958060492062941,0.8616454601287842,0.15,0.24606569111347198,0.0330810546875,-5.353316783905029,9.389696e-05,596,0.0029326081,19.87175997,625.4
1055,293,151,309248,0.04851764813065529,-0.001137567640398629,0.8311864733695984,0.15,0.2888105479069054,0.041259765625,-5.345373243093491,9.3856e-05,600,0.0013755745,19.98983374,627.84
1055,294,152,311296,0.09844763576984406,-0.0011629598739091307,0.8238295316696167,0.15,0.30648693395778537,0.0426025390625,-5.355592310428619,9.381504000000001e-05,604,0.0014912825,20.180583620000004,626.82
1055,296,153,313344,0.04024629294872284,-0.0020374961313791573,0.8769646883010864,0.15,0.213884468190372,0.0201416015625,-5.3434373289346695,9.377408e-05,608,0.0017871391,20.11562537,624.8
1055,298,154,315392,0.06330607831478119,-0.00232274949667044,0.851780116558075,0.15,0.27063712989911437,0.012939453125,-5.3431878089904785,9.373312000000001e-05,612,0.00073029584,20.18671643,626.55
1055,300,155,317440,0.037909530103206635,-0.0024340197414858267,0.8445215821266174,0.15,0.24429769488051534,0.0338134765625,-5.333668813109398,9.369216000000001e-05,616,0.0017086724,20.30967269,629.12
1055,302,156,319488,0.0757923424243927,-0.003411078010685742,0.8385559320449829,0.15,0.26014563953503966,0.0587158203125,-5.335421711206436,9.36512e-05,620,0.0031605829,20.36070552,628.12
1055,304,157,321536,0.039203986525535583,-0.0015464344978681765,0.8483610153198242,0.15,0.25980126578360796,0.0423583984375,-5.337511986494064,9.361024000000001e-05,624,0.002268255,20.50479927,631.02
1054,306,158,323584,0.02478281781077385,-0.0021778793452540413,0.8765246868133545,0.15,0.19529679883271456,0.0389404296875,-5.347303599119186,9.356928e-05,628,0.0022669341,20.57460651,635.62
1054,308,159,325632,0.06304800510406494,-0.0009099493036046624,0.8608060479164124,0.15,0.23963436484336853,0.055419921875,-5.315351784229279,9.352832e-05,632,0.0056703617,20.46110409,633.47
1054,310,160,327680,0.03157038241624832,-0.0008292966376757249,0.8794566988945007,0.15,0.19975341809913516,0.0484619140625,-5.350529253482819,9.348736e-05,636,0.0022221017,20.2544524,630.01
1054,312,161,329728,0.05606666952371597,-0.001504979096353054,0.8243423700332642,0.15,0.2805266994982958,0.0545654296875,-5.304502472281456,9.34464e-05,640,0.0015016117,20.4319059,635.26
1054,314,162,331776,0.08098100125789642,-0.002454108587699011,0.8429003953933716,0.15,0.344706361182034,0.0458984375,-5.291680499911308,9.340544e-05,644,0.0023974306,20.80771564,639.44
1054,316,163,333824,0.05031495541334152,-0.002137250587111339,0.8784976005554199,0.15,0.23611499182879925,0.0408935546875,-5.304062634706497,9.336448e-05,648,0.0032334111,20.96224225,641.55
1053,318,164,335872,0.0371963307261467,-0.0019468360114842653,0.8677701950073242,0.15,0.19741205358877778,0.0540771484375,-5.302206799387932,9.332352000000001e-05,652,0.0020503423,20.882908280000002,639.44
1053,320,165,337920,0.045043740421533585,-0.00040246787830255926,0.8148995041847229,0.15,0.25399761786684394,0.0489501953125,-5.298960402607918,9.328256e-05,656,0.0030533406,20.937856420000003,639.91
1053,322,166,339968,0.051539912819862366,-0.0008591607329435647,0.8134856224060059,0.15,0.25156843569129705,0.0509033203125,-5.283824101090431,9.324160000000001e-05,660,0.0036677876,20.965215049999998,640.08
1053,324,167,342016,0.046969301998615265,-0.002186823505326174,0.8277890682220459,0.15,0.27836280362680554,0.0477294921875,-5.312293007969856,9.320064e-05,664,0.001842868,21.10430954,639.69
